modelo,mean_iou,mean_f1,mean_recall,mean_precision,mean_dice,mean_specificity,mean_f2,mean_pixel_accuracy,mean_boundary_iou,mean_hausdorff_95,mean_latency_ms,mean_vram_mb,train_time_minutes,eval_time_minutes
sam_b_kvasir,0.7864005075940937,0.8600652593924694,0.8593524255913625,0.9181947945018165,0.8600652593924691,0.9871485263755718,0.8511304996097074,0.9550583195009718,0.09693940491032614,92.09033435277512,103.13878695170085,2779.81798828125,61.49,7.02
sam_b_kvasir,0.7864005075940937,0.8600652593924694,0.8593524255913625,0.9181947945018165,0.8600652593924691,0.9871485263755718,0.8511304996097074,0.9550583195009718,0.09693940491032614,92.09033435277512,102.79037316640218,2779.81798828125,61.29,6.9
sam_b_kvasir,0.7864005075940937,0.8600652593924694,0.8593524255913625,0.9181947945018165,0.8600652593924691,0.9871485263755718,0.8511304996097074,0.9550583195009718,0.09693940491032614,92.09033435277512,102.49978224436443,2779.81798828125,61.14,6.96
sam_b_pascals,0.8004895727287047,0.8713689662648245,0.9282919551334262,0.855905486406177,0.8713689662648246,0.9567559739384864,0.8932905707485164,0.9480048720521306,0.16690360208678567,74.85518614274235,100.36269202828407,2779.3698806762695,51.59,0.52
sam_b_isic2016,0.753256871690162,0.8424070869875712,0.8848304649765049,0.8642216136825678,0.8424070869875712,0.9583300700432451,0.852628800162093,0.9213751155961727,0.01703035017494684,46.5851497958223,153.26843790139876,2779.446919061263,84.03,15.4
sam_b_refcocog,0.39803960636221314,0.5060464147178937,0.6080783108337702,0.5041142743891269,0.5060464147178937,0.9245371089718601,0.547728745888558,0.897557810817793,0.046516980264083935,162.8252909487253,101.45290692647298,2779.37892578125,61.08,0.47
sam_l_kvasir,0.7561228179478682,0.8317216077464108,0.9070584792609092,0.8366101934059403,0.8317216077464108,0.9539320498877522,0.8566193895743781,0.9351578181007274,0.10267113483365044,110.12355290371777,223.32965532938638,4409.298912760417,113.88,2.01
sam_l_pascals,0.8283763153536117,0.8893633565353636,0.889750410311501,0.9132597884504109,0.8893633565353636,0.9781872241098051,0.8834220586458139,0.9569106814491251,0.174960685872591,53.87698555663472,207.56465941667557,4408.854393005371,98.37,0.78
sam_l_isic2016,0.7134390341438328,0.8083558854060867,0.8341175827503662,0.8758770199076449,0.8083558854060867,0.967916589160197,0.803960869785777,0.8983219964834632,0.016557190142550422,49.66381774797237,261.5570814439678,4408.90576171875,145.09,17.26
sam_l_refcocog,0.7894972180532495,0.8689710046037352,0.9420443760182279,0.8206770496208852,0.8689710046037352,0.9776302826892814,0.9081739826339238,0.976279754683516,0.12428978049338223,56.978893464127175,206.5814749399821,4408.867877604167,116.12,0.71
sam2_b_kvasir,0.8500864412972863,0.908307273360763,0.9079902621246485,0.934701105403371,0.908307273360763,0.9884112937032336,0.9058058967716641,0.9669335985209631,0.13770960982552116,76.24851917532479,90.80466111501057,815.91064453125,50.67,1.06
sam2_b_pascals,0.8520986957412998,0.9077421253372635,0.9005418897714507,0.9369510337952865,0.9077421253372634,0.9874621692478701,0.9017916898280524,0.9627104425181063,0.22173608125218336,44.88420275496054,81.3937857747078,815.91064453125,43.93,0.58
sam2_b_isic2016,0.8313611827723795,0.9030048025449937,0.8800050762668423,0.9486479990417682,0.9030048025449937,0.9808966756131574,0.8864522318910584,0.9494770127351048,0.025341060837898874,27.874413685661423,119.12551026860139,815.91064453125,74.07,15.19
sam2_b_refcocog,0.7899402338506469,0.8706517336190075,0.9344830927191106,0.8394373394450731,0.8706517336190075,0.9827262686999565,0.9021104585825629,0.9755992600574571,0.1318084302951315,67.77175383644045,79.71126397450765,815.91064453125,53.07,0.4
sam2_l_kvasir,0.8716529727878995,0.925056094864345,0.9257339846562509,0.9403764926462405,0.925056094864345,0.9894953419727218,0.9236041542409843,0.974517296907458,0.13634144369238238,72.43433372889893,142.88668950398764,1458.58251953125,86.73,1.02
sam2_l_pascals,0.8756119774234401,0.9273094705199987,0.9084359431898126,0.9594294288613379,0.9273094705199986,0.9903484968610211,0.9149421945352845,0.9703978610962466,0.22668183983772153,35.84149715429568,143.90716701745987,1458.58251953125,74.21,0.72
sam2_l_isic2016,0.8367555263632463,0.9064000387652537,0.8912879372855852,0.9431740821795943,0.9064000387652537,0.9800089835262277,0.8947688422375839,0.9538611115876036,0.026276692726782784,27.64544308161954,187.41255762709162,1458.58251953125,112.64,12.21
sam2_l_refcocog,0.8053832613554309,0.8754969152466905,0.882989092653396,0.8988348773695706,0.8754969152466905,0.9897890638748341,0.8776031292800103,0.9754540138007739,0.14318570815768344,40.01141260281434,142.56001949310303,1458.58251953125,87.24,0.58
sam2_1_b_kvasir,0.8584899738401255,0.9149452054880544,0.9085023941944225,0.9442012039920663,0.9149452054880544,0.9904511262529848,0.908616729836827,0.9681200488897987,0.13302300722479993,73.58984758618834,93.2597017288208,815.97412109375,50.8,1.37
sam2_1_b_pascals,0.8453723560397537,0.9061831827222799,0.8904021009666572,0.9483090831332954,0.9061831827222799,0.9883805308180847,0.8947662385714767,0.9611231717722089,0.2220204705770005,41.84924452952383,81.79683052003384,815.97412109375,44.01,0.62
sam2_1_b_isic2016,0.8277615884076067,0.8997853558868445,0.8674917283540278,0.9577411144463588,0.8997853558868447,0.9860046694010548,0.8778878368625612,0.9489938497288948,0.027744390180238356,28.851844156910214,142.03460927374445,815.97412109375,73.98,11.99
