modelo,mean_latency_ms,std_latency_ms,mean_vram_mb,std_vram_mb,n_images,pass,mode
sam_b_kvasir,100.35224144275372,2.647051563065623,2791.948662860577,0.29344957384405157,130,1,zero_shot
sam_b_kvasir,106.68414739462045,4.528287328083405,2791.948662860577,0.29344957384405157,130,2,zero_shot
sam_b_kvasir,100.26245483985313,2.528369064663198,2791.948662860577,0.29344957384405157,130,3,zero_shot
sam_b_pascals,100.12652035112734,2.214637886609904,2791.7561668113426,0.019092820470506373,108,1,zero_shot
sam_b_pascals,100.57646919179845,2.374404699468383,2791.7561668113426,0.019092820470506373,108,2,zero_shot
sam_b_pascals,100.14911934181497,2.1794139028691624,2791.7561668113426,0.019092820470506373,108,3,zero_shot
sam_b_isic2016,111.04688737385784,21.553493452732926,2793.7447458761317,3.1870971269032116,359,1,zero_shot
sam_b_isic2016,110.92256569928777,21.198143880785906,2793.7447458761317,3.1870971269032116,359,2,zero_shot
sam_b_isic2016,110.92180860407838,21.381458878113964,2793.7447458761317,3.1870971269032116,359,3,zero_shot
sam_b_refcocog,99.8487270795382,2.194357257569433,2791.852512770433,0.04632754605858584,130,1,zero_shot
sam_b_refcocog,99.82203887059138,2.440655296061942,2791.852512770433,0.04632754605858584,130,2,zero_shot
sam_b_refcocog,100.02532922304593,2.604384527560516,2791.852512770433,0.04632754605858584,130,3,zero_shot
sam_b_mapillary,133.49927029667768,13.668587298997599,2800.304714319466,3.5516589633197864,9358,1,zero_shot
sam_b_mapillary,132.61883163024126,13.628337956963719,2800.304714319466,3.5516589633197864,9358,2,zero_shot
sam_b_mapillary,130.15656199662138,12.633025641271669,2800.304714319466,3.5516589633197864,9358,3,zero_shot
sam_l_kvasir,204.55302825340857,1.3730729840713576,4422.854597355769,0.1781238507954764,130,1,zero_shot
sam_l_kvasir,204.26179262307974,1.2799022643009688,4422.854597355769,0.1781238507954764,130,2,zero_shot
sam_l_kvasir,204.4081632907574,1.1918637992598822,4422.854597355769,0.1781238507954764,130,3,zero_shot
sam_l_pascals,204.19498063899852,0.734596901786034,4422.682924623842,0.019092820470506377,108,1,zero_shot
sam_l_pascals,204.71284786860147,1.1486474093730528,4422.682924623842,0.019092820470506377,108,2,zero_shot
sam_l_pascals,205.1097000086749,1.0095008417460767,4422.682924623842,0.019092820470506377,108,3,zero_shot
sam_l_isic2016,215.93190700562883,23.20892244138348,4424.683570628046,3.206315274406736,359,1,zero_shot
sam_l_isic2016,216.34344802261396,22.913592343143097,4424.683570628046,3.206315274406736,359,2,zero_shot
sam_l_isic2016,216.34354830452327,23.620397160217106,4424.683570628046,3.206315274406736,359,3,zero_shot
sam_l_refcocog,204.60663575392502,1.0284020847468127,4422.779270582932,0.04632754605858584,130,1,zero_shot
sam_l_refcocog,205.02557754516602,1.1449607731770175,4422.779270582932,0.04632754605858584,130,2,zero_shot
sam_l_refcocog,204.6814588400034,1.246331111373154,4422.779270582932,0.04632754605858584,130,3,zero_shot
sam_l_mapillary,236.67544902300932,13.064731986125823,4431.230560322301,3.600400055563906,9358,1,zero_shot
sam_l_mapillary,237.20904261822832,13.498676770409096,4431.230560322301,3.600400055563906,9358,2,zero_shot
sam_l_mapillary,237.69878495272013,13.836534659852195,4431.230560322301,3.600400055563906,9358,3,zero_shot
sam2_b_kvasir,76.058684862577,1.1162922575120806,776.0886606069712,0.2541852178521819,130,1,zero_shot
sam2_b_kvasir,76.35782865377573,1.1671889166394227,776.0886606069712,0.2541852178521819,130,2,zero_shot
sam2_b_kvasir,76.55867613278903,1.0593017053510103,776.0886606069712,0.2541852178521819,130,3,zero_shot
sam2_b_pascals,76.24065655249136,0.7601144295532842,775.9067111545139,0.024878914494830314,108,1,zero_shot
sam2_b_pascals,76.39763973377369,0.7043264265293957,775.9067111545139,0.024878914494830314,108,2,zero_shot
sam2_b_pascals,76.15766039601078,0.6720493168526183,775.9067111545139,0.024878914494830314,108,3,zero_shot
sam2_b_isic2016,86.47902363854199,20.241274902690833,777.8496025744255,3.1182976753712883,359,1,zero_shot
sam2_b_isic2016,86.64595184219912,20.8514218217775,777.8496025744255,3.1182976753712883,359,2,zero_shot
sam2_b_isic2016,86.95404443236114,20.973053899356554,777.8496025744255,3.1182976753712883,359,3,zero_shot
sam2_b_refcocog,77.06320652594933,0.846295211487443,776.0048565204327,0.046327546058585835,130,1,zero_shot
sam2_b_refcocog,77.35509872436523,1.140062530834138,776.0048565204327,0.046327546058585835,130,2,zero_shot
sam2_b_refcocog,77.21735330728384,0.9241172996417226,776.0048565204327,0.046327546058585835,130,3,zero_shot
sam2_b_mapillary,107.90956685318349,12.692199672927533,784.0261602497529,3.8360754835372197,9358,1,zero_shot
sam2_b_mapillary,107.7710408944303,12.637506789925553,784.0261602497529,3.8360754835372197,9358,2,zero_shot
sam2_b_mapillary,107.69591425239186,12.65390409187348,784.0261602497529,3.8360754835372197,9358,3,zero_shot
sam2_l_kvasir,135.57703495025635,1.4301237307240764,1423.8024977463942,0.25778020365431165,130,1,zero_shot
sam2_l_kvasir,135.3766808143029,1.1965232520218827,1423.8024977463942,0.25778020365431165,130,2,zero_shot
sam2_l_kvasir,135.69951424231897,0.9568332352738379,1423.8024977463942,0.25778020365431165,130,3,zero_shot
sam2_l_pascals,135.6009421525178,1.1668928391161428,1423.6272605613426,0.019092820470506373,108,1,zero_shot
sam2_l_pascals,135.76759011657148,0.6090473422303035,1423.6272605613426,0.019092820470506373,108,2,zero_shot
sam2_l_pascals,135.70278441464458,0.9433152277047709,1423.6272605613426,0.019092820470506373,108,3,zero_shot
sam2_l_isic2016,146.00242080794735,20.758410447888014,1425.6003574381964,3.143861809953887,359,1,zero_shot
sam2_l_isic2016,145.75780268167054,20.265376100124264,1425.6003574381964,3.143861809953887,359,2,zero_shot
sam2_l_isic2016,145.74391596164543,20.35184086422294,1425.6003574381964,3.143861809953887,359,3,zero_shot
sam2_l_refcocog,136.38180769406833,1.0150735402739066,1423.7236065204327,0.046327546058585835,130,1,zero_shot
sam2_l_refcocog,136.4585234568669,1.1025356837472549,1423.7236065204327,0.046327546058585835,130,2,zero_shot
sam2_l_refcocog,136.3749284010667,0.8334281213961633,1423.7236065204327,0.046327546058585835,130,3,zero_shot
sam2_l_mapillary,166.93187934462142,12.69086583425079,1431.7803900552167,3.7337239206104167,9358,1,zero_shot
sam2_l_mapillary,168.43159714935427,13.535079380904357,1431.7803900552167,3.7337239206104167,9358,2,zero_shot
sam2_l_mapillary,168.12526025586618,13.437988154822483,1431.7803900552167,3.7337239206104167,9358,3,zero_shot
sam2_1_b_kvasir,76.09691069676326,1.0905339375379348,776.1500150240385,0.255946282749685,130,1,zero_shot
sam2_1_b_kvasir,76.12705780909612,1.1638711698690123,776.1500150240385,0.255946282749685,130,2,zero_shot
sam2_1_b_kvasir,76.51176085838905,1.067419067923254,776.1500150240385,0.255946282749685,130,3,zero_shot
sam2_1_b_pascals,76.18522202527082,0.6341416048948288,775.9719871238426,0.019092820470506373,108,1,zero_shot
sam2_1_b_pascals,76.30526798742788,0.658347646653105,775.9719871238426,0.019092820470506373,108,2,zero_shot
sam2_1_b_pascals,76.24264337398388,0.6800701273962766,775.9719871238426,0.019092820470506373,108,3,zero_shot
sam2_1_b_isic2016,87.00690096799377,20.816012283428726,777.9151696335307,3.1171338790038607,359,1,zero_shot
sam2_1_b_isic2016,87.13093441508938,20.816203828248984,777.9151696335307,3.1171338790038607,359,2,zero_shot
sam2_1_b_isic2016,86.97347587861722,20.737419702516974,777.9151696335307,3.1171338790038607,359,3,zero_shot
sam2_1_b_refcocog,77.28588764484113,0.8849696492909224,776.0683330829327,0.046327546058585835,130,1,zero_shot
sam2_1_b_refcocog,77.17946492708646,1.058847582411906,776.0683330829327,0.046327546058585835,130,2,zero_shot
sam2_1_b_refcocog,76.95637299464299,0.8985790820987792,776.0683330829327,0.046327546058585835,130,3,zero_shot
sam2_1_b_mapillary,108.37534147084435,12.941001259666255,783.8382249291215,4.013356432410118,9358,1,zero_shot
sam2_1_b_mapillary,108.53154377999482,12.954432099871697,783.8382249291215,4.013356432410118,9358,2,zero_shot
sam2_1_b_mapillary,108.41694039191718,12.94506894078899,783.8382249291215,4.013356432410118,9358,3,zero_shot
sam2_1_l_kvasir,136.00623791034405,1.19811666077111,1423.866075721154,0.25777096013383827,130,1,zero_shot
sam2_1_l_kvasir,135.936636191148,1.249690398951405,1423.866075721154,0.25777096013383827,130,2,zero_shot
sam2_1_l_kvasir,135.9368636057927,1.0391396038078582,1423.866075721154,0.25777096013383827,130,3,zero_shot
sam2_1_l_pascals,135.68366677672773,1.1460235115542936,1423.6872739438656,0.029543476053952637,108,1,zero_shot
sam2_1_l_pascals,135.58410715173792,0.6606877221218799,1423.6872739438656,0.029543476053952637,108,2,zero_shot
sam2_1_l_pascals,135.46197502701372,0.9572915976022283,1423.6872739438656,0.029543476053952637,108,3,zero_shot
sam2_1_l_isic2016,147.25245406700708,22.61938426804369,1425.6603412256268,3.145887219922326,359,1,zero_shot
sam2_1_l_isic2016,146.81861858846085,22.341544122334767,1425.6603412256268,3.145887219922326,359,2,zero_shot
sam2_1_l_isic2016,146.64677657124724,22.02075180808446,1425.6603412256268,3.145887219922326,359,3,zero_shot
sam2_1_l_refcocog,136.68846533848688,1.052300701063588,1423.7870830829327,0.046327546058585835,130,1,zero_shot
sam2_1_l_refcocog,136.56582648937518,1.3170934763993445,1423.7870830829327,0.046327546058585835,130,2,zero_shot
sam2_1_l_refcocog,136.358380317688,1.0360311928936712,1423.7870830829327,0.046327546058585835,130,3,zero_shot
sam2_1_l_mapillary,168.5340209097963,13.495252691768313,1431.9598680085721,3.5998591457099507,9358,1,zero_shot
sam2_1_l_mapillary,168.526621653652,13.54425057378129,1431.9598680085721,3.5998591457099507,9358,2,zero_shot
sam2_1_l_mapillary,168.95839759849488,13.756169369064343,1431.9598680085721,3.5998591457099507,9358,3,zero_shot
sam3_kvasir,418.2279953589806,2.9500617562837896,2277.0183330829327,0.21404300548700683,130,1,zero_shot
