modelo,mean_iou,mean_f1,mean_recall,mean_precision,mean_dice,mean_specificity,mean_f2,mean_pixel_accuracy,mean_boundary_iou,mean_hausdorff_95,mean_latency_ms,mean_vram_mb,eval_time_minutes
sam_b,0.3626519453226266,0.4373548099521912,0.37437817187318767,0.8611160635032609,0.4373548099521912,0.9754809377231866,0.3939032871465142,0.8172778527963007,0.08543858944744076,116.4895840833619,104.00781972067696,2791.757545689174,4.31
sam_l,0.4232727665909993,0.4918926988510826,0.4384092305306468,0.85375870277629,0.4918926988510826,0.9685053630774687,0.4548511637082534,0.8316173506660627,0.10513993260200473,107.28726532636244,208.7426561314913,4422.685140745335,6.19
sam2_b,0.6091434047777016,0.6665913123874961,0.6401509175454321,0.852119256346617,0.6665913123874961,0.96190097285282,0.6476563754081124,0.8804487388127847,0.1347877419204919,78.25277777211247,79.02639865295855,775.8035127771872,3.27
sam2_l,0.6191249894411457,0.6759490154947596,0.6508314073168169,0.8503778332200025,0.6759490154947595,0.9627384549582345,0.6580809770256855,0.8853506516031117,0.13714230061850988,77.47109426147289,137.38397214259894,1423.5220322891475,3.89
sam2_1_b,0.6173431100383467,0.6759013777732841,0.6484155335831531,0.8495630216141776,0.6759013777732841,0.9622248403463844,0.6565144070115189,0.8832022798613215,0.13343967053187752,77.30710820351331,77.88012951028114,775.8642590092678,2.92
sam2_1_l,0.6149182681524561,0.6718599091998474,0.6453413329192722,0.8496440121961911,0.6718599091998474,0.9627118871203856,0.6531199213814401,0.8838437637222307,0.1367009315052881,77.3297449359983,137.4183849802295,1423.5844572493174,4.01
sam3,0.669716681372268,0.7298722449178229,0.6995210446214004,0.8686346523920009,0.7298722449178229,0.9682562706717603,0.7088617430923652,0.9005874634891707,0.1636267176378675,71.71223659602647,426.28125021758586,2276.7084078001744,7.88
sam3_prompt,0.4639490873518379,0.5452308656135869,0.47561757122761594,0.8495785674793417,0.5452308656135869,0.9906688237275765,0.49803592450568795,0.8436905732719839,0.10817974128667425,124.17819967375647,243.30870376418076,3817.9840697397995,7.29
