modelo,mean_iou,mean_f1,mean_recall,mean_precision,mean_dice,mean_specificity,mean_f2,mean_pixel_accuracy,mean_boundary_iou,mean_hausdorff_95,mean_latency_ms,mean_vram_mb,eval_time_minutes
sam_b,0.5768791898617807,0.6620856814418001,0.7020232486158814,0.8566344423292376,0.6620856814418001,0.9301068275074841,0.6664039871674542,0.8957647689366929,0.03924234777173369,136.47457795156703,101.38535928726196,2791.9439111328124,16.59
sam_l,0.6367526518117068,0.7127996802441616,0.7191569550509149,0.9038355789973492,0.7127996802441616,0.9631706044758975,0.7037105949121758,0.9217393494434656,0.049214749544453866,124.7804084212542,232.64928770065308,4422.850533691406,25.87
sam2_b,0.624905778432242,0.7059956248014346,0.8174858868564453,0.7997452192892567,0.7059956248014346,0.835962189637855,0.7259534236510858,0.8362015846846776,0.055677904202568025,140.84647214871745,136.60958643709677,775.9949665634576,63.05
sam2_l,0.6427115822392041,0.721821265193792,0.8451431728557882,0.7902753618229618,0.721821265193792,0.827682919355355,0.7445363918830857,0.8311238356356478,0.06434690553656873,141.93017109741427,195.70475339647967,1423.7158999612145,73.2
sam2_1_b,0.6374446216248861,0.7164347056424798,0.8188422212932861,0.8105340441095279,0.7164347056424798,0.848773284366188,0.7336023365281998,0.8471031213205467,0.056388937821512324,138.59837891301297,103.5878979620129,776.0549914199138,64.74
sam2_1_l,0.6663415496880262,0.7450459341649781,0.8408401353647785,0.8188631584490252,0.7450459341649781,0.8582752538113402,0.7606523473503329,0.8564582048784618,0.06506309311464611,134.35638912222336,183.9657360188761,1423.7813882393832,66.21
sam3,0.7785862536415712,0.8502350514779914,0.8214508551544561,0.9459043502842382,0.8502350514779913,0.9848097211456949,0.8276531371319835,0.950540202994257,0.06062681013881538,99.49205625275046,445.45745897823446,2276.903994229493,27.05
sam3_prompt,0.0005566399687776266,0.0011094758426268296,0.0005749483044439777,0.06338391717486883,0.0011094758426268296,0.9965754766250847,0.0007117655397532183,0.8502226397952278,0.0026773103166088667,394.30883367207554,247.04180823432074,3812.1246202256943,3.91
